,Bal,Brick,Dist,District,Floor,Kitsp,Link,Livesp,Metrdist,N,New,Nfloor,Price,Rooms,Tel,Totsp,Walk
134,1,0,3.932829177517545,0,11,7.5,http://www.cian.ru/sale/flat/150468272/,22.2,5.0,134,0,12.0,8800000,2,1.0,39.5,1.0
135,1,0,4.758651638819743,0,3,,http://www.cian.ru/sale/flat/151352264/,,12.0,135,1,20.0,8846400,1,,38.8,0.0
136,0,0,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/149031239/,40.3,6.0,136,1,,8851913,1,,40.3,1.0
137,1,0,4.603822648906594,0,9,6.0,http://www.cian.ru/sale/flat/149355156/,25.0,5.0,137,0,9.0,8890000,2,,39.0,1.0
138,0,0,4.075651203998337,0,3,,http://www.cian.ru/sale/flat/149031367/,39.4,6.0,138,1,,8896178,1,,39.4,1.0
139,1,0,4.305776836401779,0,1,7.0,http://www.cian.ru/sale/flat/151407201/,31.0,9.0,139,0,12.0,8900000,2,,47.5,1.0
140,1,1,2.2644431674287855,0,2,12.0,http://www.cian.ru/sale/flat/151344797/,44.0,2.0,140,0,6.0,25000000,2,1.0,56.0,1.0
141,1,0,2.0616079663979834,0,3,,http://www.cian.ru/sale/flat/152142465/,,,141,1,11.0,78895681,3,,131.0,
142,1,1,1.9594095788889387,0,3,9.0,http://www.cian.ru/sale/flat/151522350/,42.0,7.0,142,0,8.0,37500000,2,,68.0,1.0
143,1,1,3.3371733566651076,0,2,9.0,http://www.cian.ru/sale/flat/150900055/,17.0,14.0,143,0,9.0,8900000,1,1.0,33.3,1.0
144,1,1,4.059767192417162,0,4,,http://www.cian.ru/sale/flat/151620435/,,9.0,144,1,4.0,8943623,1,,49.9,1.0
145,0,0,4.075651203998337,0,4,,http://www.cian.ru/sale/flat/149031385/,49.9,6.0,145,1,,8943624,1,,49.9,1.0
146,1,0,4.3132764101126515,0,6,8.0,http://www.cian.ru/sale/flat/149825944/,21.0,6.0,146,0,17.0,8950000,1,0.0,36.5,1.0
147,0,0,4.075651203998337,0,4,,http://www.cian.ru/sale/flat/149031383/,38.9,6.0,147,1,,8949981,1,,38.9,1.0
148,1,1,4.055612885607759,0,7,15.0,http://www.cian.ru/sale/flat/151241957/,24.0,11.0,148,1,44.0,8963500,1,,45.5,1.0
149,1,1,3.806599122738197,0,6,7.5,http://www.cian.ru/sale/flat/150785933/,19.0,8.0,149,0,17.0,8990000,1,0.0,38.0,1.0
150,1,1,4.866721880678875,0,13,8.1,http://www.cian.ru/sale/flat/151168148/,16.4,15.0,150,0,24.0,9000000,1,0.0,40.9,1.0
151,1,0,4.1509443529550705,0,9,8.0,http://www.cian.ru/sale/flat/147901521/,19.0,11.0,151,0,17.0,9000000,1,1.0,38.0,1.0
152,1,1,4.950776616387981,0,3,8.0,http://www.cian.ru/sale/flat/151195546/,18.0,15.0,152,0,14.0,9000000,1,,34.0,1.0
153,1,1,5.878282893853865,0,8,5.5,http://www.cian.ru/sale/flat/151886667/,28.4,9.0,153,0,9.0,9000000,2,1.0,42.0,1.0
154,1,0,3.5017595076024497,0,5,9.6,http://www.cian.ru/sale/flat/144133232/,20.0,9.0,154,0,12.0,9000000,1,1.0,35.2,1.0
155,1,1,4.204884051874228,0,1,5.7,http://www.cian.ru/sale/flat/149921990/,38.5,12.0,155,0,5.0,9000000,2,0.0,55.0,1.0
156,1,1,2.9782486996214126,0,1,9.0,http://www.cian.ru/sale/flat/150912522/,17.0,10.0,156,0,9.0,9000000,1,1.0,37.0,1.0
157,1,0,3.93898967138992,0,1,10.0,http://www.cian.ru/sale/flat/150809777/,20.0,7.0,157,0,12.0,9000000,1,1.0,40.0,1.0
158,1,0,3.93898967138992,0,10,7.0,http://www.cian.ru/sale/flat/151875095/,23.0,5.0,158,0,12.0,9000000,2,0.0,40.0,1.0
159,1,1,5.176094024858456,0,1,10.0,http://www.cian.ru/sale/flat/151646135/,49.0,15.0,159,0,5.0,9100000,3,,74.0,1.0
160,1,1,4.027555607143229,0,3,11.0,http://www.cian.ru/sale/flat/151300395/,22.0,5.0,160,0,5.0,9100000,1,1.0,42.6,1.0
161,0,0,4.075651203998337,0,3,,http://www.cian.ru/sale/flat/149031357/,53.3,6.0,161,1,,9117548,1,,53.3,1.0
162,0,1,2.19869067271141,0,3,4.0,http://www.cian.ru/sale/flat/151975047/,24.0,4.0,162,0,5.0,9200000,2,,33.0,1.0
163,1,1,4.307597305893466,0,3,7.8,http://www.cian.ru/sale/flat/150738741/,30.0,8.0,163,0,9.0,9200000,2,1.0,46.0,1.0
164,1,1,2.9140538784004324,0,1,6.0,http://www.cian.ru/sale/flat/148224543/,29.0,6.0,164,0,5.0,9200000,2,1.0,44.0,1.0
165,1,0,4.027555607143229,0,6,7.0,http://www.cian.ru/sale/flat/151536154/,35.0,2.0,165,0,6.0,9200000,2,,42.6,1.0
166,1,0,4.025180386501308,0,7,7.0,http://www.cian.ru/sale/flat/150764198/,24.0,5.0,166,0,12.0,9280000,2,1.0,39.0,1.0
167,1,0,3.5382219665921113,0,6,10.1,http://www.cian.ru/sale/flat/152136142/,20.0,5.0,167,0,18.0,9300000,1,1.0,38.5,1.0
168,1,0,1.7391866223951649,0,3,,http://www.cian.ru/sale/flat/152141864/,,,168,0,16.0,119136713,4,,145.0,
169,1,0,2.6603909127465095,0,12,,http://www.cian.ru/sale/flat/152141757/,,,169,0,16.0,139045500,4,,192.0,
170,1,1,4.159343142621809,0,4,16.0,http://www.cian.ru/sale/flat/21305801/,63.5,5.0,170,0,12.0,60480000,3,0.0,100.8,1.0
171,1,1,3.268662555583318,0,9,6.0,http://www.cian.ru/sale/flat/150354513/,18.0,10.0,171,0,9.0,9300000,1,1.0,31.6,1.0
172,0,0,3.5382219665921113,0,6,10.0,http://www.cian.ru/sale/flat/149951233/,20.0,5.0,172,0,18.0,9300000,1,0.0,38.5,1.0
173,0,0,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/149031240/,41.6,6.0,173,1,,9310992,1,,41.6,1.0
174,0,0,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/149031245/,42.6,6.0,174,1,,9356608,1,,42.6,1.0
175,0,0,4.075651203998337,0,4,,http://www.cian.ru/sale/flat/149031390/,41.2,6.0,175,1,,9395149,1,,41.2,1.0
176,1,1,3.7989210900963895,0,4,6.8,http://www.cian.ru/sale/flat/149146537/,29.0,15.0,176,0,5.0,9400000,2,1.0,45.0,1.0
177,1,1,3.8835273216299275,0,9,9.0,http://www.cian.ru/sale/flat/150827072/,18.0,11.0,177,0,9.0,9450000,1,,33.9,1.0
178,1,1,3.688766805185085,0,4,5.5,http://www.cian.ru/sale/flat/147978925/,28.6,10.0,178,0,5.0,9500000,2,1.0,42.6,1.0
179,1,1,4.006009124620543,0,3,,http://www.cian.ru/sale/flat/151922849/,,7.0,179,0,44.0,9500000,1,,48.8,1.0
180,1,0,4.089053259180573,0,8,6.0,http://www.cian.ru/sale/flat/151529700/,30.0,4.0,180,0,9.0,9500000,2,1.0,45.6,1.0
181,1,1,3.958122595001112,0,2,8.5,http://www.cian.ru/sale/flat/151882797/,18.0,9.0,181,0,17.0,9500000,1,,39.0,1.0
182,1,1,3.54090424661403,0,3,8.0,http://www.cian.ru/sale/flat/151831411/,18.0,9.0,182,0,14.0,9500000,1,,36.0,1.0
183,1,0,3.455868659978814,0,15,9.8,http://www.cian.ru/sale/flat/151821011/,19.3,10.0,183,0,16.0,9500000,1,,37.3,1.0
184,1,0,4.256625070633506,0,4,6.1,http://www.cian.ru/sale/flat/51203249/,30.0,8.0,184,0,9.0,9500000,2,1.0,45.0,1.0
185,1,0,4.758651638819743,0,5,,http://www.cian.ru/sale/flat/151352157/,,12.0,185,1,20.0,9522800,1,,35.8,0.0
